Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
90.0,100.0,70.0,1,0.86,4.76,1.03,1.5,105.5,90.875,2,8,9
55.0,60.0,100.0,1,1.08,3.1,1.02,1.3,57.5,136.97500000000002,4,2,2
275.0,325.0,20.0,1,12.83,11.01,3.36,9.8,342.5,317.275,3,6,6
80.0,85.0,80.0,1,0.49,5.31,2.64,1.97,89.525,95.75,3,7,7
100.0,120.0,50.0,1,0.75,3.98,0.77,1.24,122.525,119.275,3,7,7
90.0,100.0,65.0,1,39.48,8.62,2.97,21.64,106.5,100.07499999999999,3,7,7
30.0,36.0,175.0,1,29.16,56.71,3.87,23.74,40.5,36.725,5,8,8
950.0,1050.0,6.0,1,53.83,10.48,1.76,30.82,1057.5,1140.875,3,9,9
70.0,75.0,90.0,1,0.66,5.93,3.09,2.2,76.0,87.275,5,8,9
55.0,60.0,110.0,1,10.63,14.82,2.9,8.25,60.575,56.75,2,9,9
70.0,75.0,90.0,1,1.23,3.78,1.89,1.81,72.5,53.375,2,9,9
115.0,125.0,50.0,1,0.31,6.05,4.31,2.57,113.0,164.35000000000002,9,9,10
40.0,45.0,150.0,1,40.49,5.76,1.09,21.84,45.0,39.375,3,10,10
195.0,205.0,30.0,1,1.0,4.12,0.1,1.04,195.0,163.25,2,10,10
77.0,82.0,75.0,1,0.61,3.0,2.36,1.56,84.275,83.95,6,10,11
316.0,330.0,20.0,1,9.95,10.7,0.98,6.31,323.65,425.725,2,11,11
165.0,180.0,35.0,1,3.35,2.65,0.4,1.97,187.5,206.15,4,11,12
100.0,115.0,60.0,1,2.88,0.15,0.4,1.68,104.0,100.8,2,12,12
490.0,530.0,13.0,1,7.45,0.41,0.38,4.0,510.5,535.9,2,12,12
185.0,212.0,30.0,1,68.52,26.17,3.42,39.54,252.0,265.9,4,12,12
155.0,165.0,40.0,1,48.44,106.02,11.08,43.22,174.175,191.7,2,1,1
200.0,225.0,25.0,1,0.26,5.07,3.0,1.94,222.2,244.45,8,1,2
